 format: day,day,forecast,value location:59_125 Start : 20210801 ,value location:59_125 Start : 20220801 ,value location:59_125 Start : 20200801 
5,5,4,0,1.5,0
5,5,5,0,1,0
5,5,6,0,1,0
5,5,1,0,1,0
5,5,2,0,1,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
5,5,1,0,0,0
5,5,2,0,0,0
5,5,3,0,0,0
5,5,4,0,0,0
5,5,5,0,0,0
5,5,6,0,0,0
,,,,0,0
6,6,1,0,0,0
6,6,2,0,0,0
6,6,3,0,0,0
6,6,4,0,0,0
6,6,5,0,0,0
6,6,6,0.4,0,0
6,6,1,0,0,0
6,6,2,0,0,0
6,6,3,0,0,0
6,6,4,0,0,0
6,6,5,0,0,0
6,6,6,0,0,0
6,6,1,0,0,0
6,6,2,0,0,0
6,6,3,0,0,0
6,6,4,0,0,0
6,6,5,0,0,0
6,6,6,0,0,0
6,6,1,0,0,0
6,6,2,0,0,0
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,1,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0.1,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0.3,,
6,6,4,0.2,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0.1,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
6,6,5,0,,
6,6,6,0,,
6,6,1,0,,
6,6,2,0,,
6,6,3,0,,
6,6,4,0,,
